archive_id,canonical_archive_id,content_kind,publication_status,source_name,source_sha256,source_bytes,snapshot_url,release_download_url,topic,usage_level,role,chapter_paths
G-archive-0001,G-archive-0001,source_archive,publishable,1.CAN接收指令例程_ROS.zip,aaa0f809ac4a09662f54cc4db66c5653a509f2e712aa4e13c474cb34985b1be5,243860,https://github.com/EnosElinsa/wheeltec-ros-source-reference/tree/main/packages/G-archive-0001,https://github.com/EnosElinsa/wheeltec-ros-source-reference/releases/download/source-archive-2026-08-28/G-archive-0001__1.CAN__ROS.zip,chassis-control,hardware_match_required,primary,docs/03-chassis-control/14-serial-protocol.md|docs/03-chassis-control/15-can-protocol.md
G-archive-0002,G-archive-0002,source_archive,publishable,1.新建工程.zip,fcd65f7698b110ff1692bf21f34b463fc7da0903d96ea08051a1b5a3575e83d9,5992464,https://github.com/EnosElinsa/wheeltec-ros-source-reference/tree/main/packages/G-archive-0002,https://github.com/EnosElinsa/wheeltec-ros-source-reference/releases/download/source-archive-2026-08-28/G-archive-0002__1.zip,stm32,hardware_match_required,primary,docs/06-stm32-firmware/index.md|docs/06-stm32-firmware/34-hardware-init-model-interfaces.md
G-archive-0003,G-archive-0003,source_archive,publishable,2.LED.zip,189bcc71b16ad5ab019f3cf6ac4fcac61b4bb0dca47ef7749b2f354953fc852b,7257426,https://github.com/EnosElinsa/wheeltec-ros-source-reference/tree/main/packages/G-archive-0003,https://github.com/EnosElinsa/wheeltec-ros-source-reference/releases/download/source-archive-2026-08-28/G-archive-0003__2.LED.zip,stm32,hardware_match_required,primary,docs/06-stm32-firmware/index.md|docs/06-stm32-firmware/34-hardware-init-model-interfaces.md
G-archive-0004,G-archive-0004,source_archive,publishable,3.按键.zip,5d937ae99a9c3cf79a3de432e717fe1bd3fcf10c4543444abdf6a6eb19a591a0,6398929,https://github.com/EnosElinsa/wheeltec-ros-source-reference/tree/main/packages/G-archive-0004,https://github.com/EnosElinsa/wheeltec-ros-source-reference/releases/download/source-archive-2026-08-28/G-archive-0004__3.zip,stm32,hardware_match_required,primary,docs/06-stm32-firmware/index.md|docs/06-stm32-firmware/34-hardware-init-model-interfaces.md
G-archive-0005,G-archive-0005,source_archive,publishable,4.串口通信.zip,fff7b00beb01c68b99532d28aeabc5598767cfb618966c51967dba2f9f6fd012,6244606,https://github.com/EnosElinsa/wheeltec-ros-source-reference/tree/main/packages/G-archive-0005,https://github.com/EnosElinsa/wheeltec-ros-source-reference/releases/download/source-archive-2026-08-28/G-archive-0005__4.zip,stm32,hardware_match_required,primary,docs/06-stm32-firmware/index.md|docs/06-stm32-firmware/34-hardware-init-model-interfaces.md
G-archive-0006,G-archive-0006,source_archive,publishable,5.外部中断.zip,a202584c56299d6d47600632c1dd6d7e74144ffdbe74f94656ab01a2ed56458c,6580105,https://github.com/EnosElinsa/wheeltec-ros-source-reference/tree/main/packages/G-archive-0006,https://github.com/EnosElinsa/wheeltec-ros-source-reference/releases/download/source-archive-2026-08-28/G-archive-0006__5.zip,stm32,hardware_match_required,primary,docs/06-stm32-firmware/index.md|docs/06-stm32-firmware/34-hardware-init-model-interfaces.md
G-archive-0007,G-archive-0007,source_archive,publishable,6.定时中断.zip,c7487c2cbe6869d94f793bd5df56af17319a9c5f54e4ccb33ea2cc0d659ea414,6580952,https://github.com/EnosElinsa/wheeltec-ros-source-reference/tree/main/packages/G-archive-0007,https://github.com/EnosElinsa/wheeltec-ros-source-reference/releases/download/source-archive-2026-08-28/G-archive-0007__6.zip,stm32,hardware_match_required,primary,docs/06-stm32-firmware/index.md|docs/06-stm32-firmware/34-hardware-init-model-interfaces.md
G-archive-0008,G-archive-0008,source_archive,publishable,7.PWM输出.zip,2f54a7d8d7d74bffe6bb2f94e9f7ce357f0184acb232c16289da58c9806f8c09,6594171,https://github.com/EnosElinsa/wheeltec-ros-source-reference/tree/main/packages/G-archive-0008,https://github.com/EnosElinsa/wheeltec-ros-source-reference/releases/download/source-archive-2026-08-28/G-archive-0008__7.PWM.zip,stm32,hardware_match_required,primary,docs/06-stm32-firmware/index.md|docs/06-stm32-firmware/34-hardware-init-model-interfaces.md
G-archive-0009,G-archive-0009,source_archive,publishable,8.舵机控制.zip,437fd9175452e7fbb64567ce7207e5848caa77b9510745b20cc7e2d8c1db589d,6602623,https://github.com/EnosElinsa/wheeltec-ros-source-reference/tree/main/packages/G-archive-0009,https://github.com/EnosElinsa/wheeltec-ros-source-reference/releases/download/source-archive-2026-08-28/G-archive-0009__8.zip,stm32,hardware_match_required,primary,docs/06-stm32-firmware/index.md|docs/06-stm32-firmware/34-hardware-init-model-interfaces.md
G-archive-0010,G-archive-0010,source_archive,publishable,9.输入捕获.zip,004944a543fa8bad92910edc6678aa6058212b4430bf14f1c72d42afea39e7dc,6610044,https://github.com/EnosElinsa/wheeltec-ros-source-reference/tree/main/packages/G-archive-0010,https://github.com/EnosElinsa/wheeltec-ros-source-reference/releases/download/source-archive-2026-08-28/G-archive-0010__9.zip,stm32,hardware_match_required,primary,docs/06-stm32-firmware/index.md|docs/06-stm32-firmware/34-hardware-init-model-interfaces.md
