chinese,english,abbreviation,canonical_path,canonical_anchor,first_use,later_use
机器人操作系统,Robot Operating System,ROS,docs/01-foundations/01-understanding-ros.md,ros-platform,"机器人操作系统（Robot Operating System, ROS）",ROS
机器人操作系统 2,Robot Operating System 2,ROS 2,docs/01-foundations/01-understanding-ros.md,ros-platform,"机器人操作系统 2（Robot Operating System 2, ROS 2）",ROS 2
操作系统,Operating System,OS,docs/01-foundations/03-ubuntu-terminal-programs.md,operating-system,"操作系统（Operating System, OS）",OS
安全外壳协议,Secure Shell,SSH,docs/01-foundations/03-ubuntu-terminal-programs.md,ssh,"安全外壳协议（Secure Shell, SSH）",SSH
控制器局域网,Controller Area Network,CAN,docs/02-hardware-basics/07-electrical-interfaces-communication.md,can,"控制器局域网（Controller Area Network, CAN）",CAN
传感器,Sensor,,docs/01-foundations/02-robot-system-overview.md,sensor,传感器（Sensor）,传感器
激光雷达,Light Detection And Ranging,LiDAR,docs/02-hardware-basics/08-sensors-and-feedback.md,lidar-camera-gnss,"激光雷达（Light Detection And Ranging, LiDAR）",激光雷达
编码器,Encoder,,docs/02-hardware-basics/08-sensors-and-feedback.md,encoder,编码器（Encoder）,编码器
惯性测量单元,Inertial Measurement Unit,IMU,docs/02-hardware-basics/08-sensors-and-feedback.md,imu,"惯性测量单元（Inertial Measurement Unit, IMU）",IMU
微控制器,Microcontroller Unit,MCU,docs/02-hardware-basics/06-controller-and-firmware.md,cpu-mcu-stm32,"微控制器（Microcontroller Unit, MCU）",MCU
STM32,STMicroelectronics 32-bit Microcontroller Family,,docs/02-hardware-basics/06-controller-and-firmware.md,cpu-mcu-stm32,STM32,STM32
串行通信,Serial Communication,,docs/02-hardware-basics/07-electrical-interfaces-communication.md,usb-serial-port,串行通信（Serial Communication）,串行通信
串行端口,Serial Port,,docs/02-hardware-basics/07-electrical-interfaces-communication.md,usb-serial-port,串行端口（Serial Port）,串口或串行端口
波特率,Baud Rate,,docs/02-hardware-basics/07-electrical-interfaces-communication.md,uart-usart-levels,波特率（Baud Rate）,波特率
电机驱动器,Motor Driver,,docs/02-hardware-basics/09-chassis-motion-control.md,motor-driver-pwm,电机驱动器（Motor Driver）,电机驱动器
通用串行总线,Universal Serial Bus,USB,docs/02-hardware-basics/07-electrical-interfaces-communication.md,usb-serial-port,"通用串行总线（Universal Serial Bus, USB）",USB
终端,Terminal,,docs/01-foundations/03-ubuntu-terminal-programs.md,terminal-command,终端（Terminal）,终端
文件,File,,docs/01-foundations/03-ubuntu-terminal-programs.md,file-directory,文件（File）,文件
目录,Directory,,docs/01-foundations/03-ubuntu-terminal-programs.md,file-directory,目录（Directory）,目录
进程,Process,,docs/01-foundations/03-ubuntu-terminal-programs.md,program-process,进程（Process）,进程
命令解释器,Shell,,docs/01-foundations/03-ubuntu-terminal-programs.md,terminal-command,命令解释器（Shell）,Shell
固件,Firmware,,docs/02-hardware-basics/06-controller-and-firmware.md,source-firmware-build,固件（Firmware）,固件
实时操作系统,Real-Time Operating System,RTOS,docs/07-stm32-firmware/38-firmware-architecture-freertos.md,initialization-task-scheduling,"实时操作系统（Real-Time Operating System, RTOS）",RTOS
FreeRTOS,FreeRTOS,,docs/07-stm32-firmware/38-firmware-architecture-freertos.md,initialization-task-scheduling,FreeRTOS,FreeRTOS
通用异步收发传输器,Universal Asynchronous Receiver-Transmitter,UART,docs/02-hardware-basics/07-electrical-interfaces-communication.md,uart-usart-levels,"通用异步收发传输器（Universal Asynchronous Receiver-Transmitter, UART）",UART
通用同步/异步收发传输器,Universal Synchronous/Asynchronous Receiver-Transmitter,USART,docs/02-hardware-basics/07-electrical-interfaces-communication.md,uart-usart-levels,"通用同步/异步收发传输器（Universal Synchronous/Asynchronous Receiver-Transmitter, USART）",USART
脉宽调制,Pulse-Width Modulation,PWM,docs/02-hardware-basics/09-chassis-motion-control.md,motor-driver-pwm,"脉宽调制（Pulse-Width Modulation, PWM）",PWM
比例—积分—微分控制,Proportional–Integral–Derivative Control,PID,docs/02-hardware-basics/09-chassis-motion-control.md,pi-pid,"比例—积分—微分控制（Proportional–Integral–Derivative Control, PID）",PID
比例—积分控制,Proportional–Integral Control,PI,docs/02-hardware-basics/09-chassis-motion-control.md,pi-pid,"比例—积分控制（Proportional–Integral Control, PI）",PI
有机发光二极管,Organic Light-Emitting Diode,OLED,docs/02-hardware-basics/08-sensors-and-feedback.md,oled,"有机发光二极管（Organic Light-Emitting Diode, OLED）",OLED
巨磁阻,Giant Magnetoresistance,GMR,docs/02-hardware-basics/08-sensors-and-feedback.md,encoder-types,"巨磁阻（Giant Magnetoresistance, GMR）",GMR
霍尔效应编码器,Hall Effect Encoder,,docs/02-hardware-basics/08-sensors-and-feedback.md,encoder-types,霍尔效应编码器（Hall Effect Encoder）,霍尔效应编码器
直接内存访问,Direct Memory Access,DMA,docs/02-hardware-basics/07-electrical-interfaces-communication.md,gpio-i2c-spi-dma,"直接内存访问（Direct Memory Access, DMA）",DMA
Transform Library 2,Transform Library 2,TF2,docs/05-ros2-development/26-tf-urdf-rviz.md,model-tf-rviz,Transform Library 2（TF2）,TF2
